Rec. N.,Site,Wetland,Grassland,Shrubland,Mixed,Woodland,Forest,Quote
1,Buffalo Cave,0,0,0,6,0,2,"""A rapid increase in savannah grass proportions between 1.78 and 1.69 Ma […] it also highlights the rapidity with which the environment oscillated between forest-dominated and grass-dominated end-members. Faunal deposits rarely have temporal resolutions better than 100 ka, which indicates that most Plio-Pleistocene African faunal deposits are likely to be time-averaged amalgamations derived from both forest-dominated and grass-dominated environmental end-members. […] Homo erectus must also be considered within the context of increasing savannah grass proportions. It has been suggested that H. erectus was the first hominin to develop a savannah-adapted morphology""25 (Hopley et al. 2007)"
2,Swartkrans valley,0,4,0,4,0,0,“At the biome level the evidence suggests that the Sterkfontein Valley was located near the ecotone between the Grassland and Savanna biomes [...] All samples appear to represent interglacial conditions with generally similar vegetational elements[...] the micromammals make it clear that vegetation was not everywhere the same and varied diﬀerentially with time”26 (Avery 2001)
3,Wonderwerk,0,2,0,6,0,0,"“...reflect a semi-arid ecotone palaeo-environment, consisting of a mix of taxa associated with broken, montane habitat and semi-arid grassland-savanna plains habitat […] The salient ecological character of the fauna is that of taxa adapted to semi-arid, savanna conditions […] On a local scale, the equids and alcelaphines reflect taxa of the plains habitat to the east of the cave, while hyraxes and the caprine reflect the broken and montane habitat of the Kuruman Hills to the west.”27 
(Brink, Holt, & Horwitz 2016)"
4,Wonderwerk,0,0,0,8,0,0,"“Jointly, the faunal and phytolith evidence offers a scenario akin to that of a savanna-like environment.”28 (Rossouw 2016)"
5,Sterkfontein Member 5 East Oldowan,0,5,0,0,3,0,"“Faunal composition from the Oldowan infill, including the equids, springhare, ostrich and lion as well as the various species of antelopine and alcelaphine, have been interpreted as indicating a drier and more open environment […] However, a taxon-free analysis of the bovids from this infill indicates that a significant amount of tree cover was available in the vicinity”29 (Reynolds & Kibii 2011)"
6,Sterkfontein Member 5 West Acheulean,0,4,0,4,0,0,"“Fauna from the Member 5 West Early Acheulean appears to indicate open or wooded grassland or open savanna [...] Certainly, isotope data appear to suggest Member 5 fauna being from a drier, grassland environment, compared with earlier Members”29 (Reynolds & Kibii 2011)"
7,Olduvai Bed I,0,6,1,0,1,0,"""In summary, based on phytolith abundance and macroplants, prior to the eruption of Mt Olmoti the eastern lake margin was sparsely vegetated by grassland associated with dicot plants […] when the wood/bark phytoliths are dominant we do not interpret this as closed woodland but rather as woody vegetation (trees or shrubs or woody herbs) with a herbaceous monocot component.""30
(Albert and Bamford 2012)"
8,Olduvai Bed II,0,7,1,0,0,0,"""a diversity of plants: monocots, wood/bark of dicots and grasses […] The presence of trees cannot be conﬁrmed because we are unable to distinguish, at this stage, between the wood/bark phytoliths of woody and herbaceous dicots […] Immediately after the deposition of Tuff IF, there was very little vegetation in the basin. Then palms grew, in one area at least, and sedges, grasses and dicotyledons became more widespread”31 (Bamford, Albert, & Cabanes 2006)"
9,Turkana Multiple,0,0,2,6,0,0,"""Homo occupied a complex mosaic of environments, ranging from wooded grasslands to drier, bushy habitats […] Thus, the Omo environments after 2 Ma became markedly more open. The species H. erectus was part of the pulse of first appearances between 2.0 and 1.8 Ma""32 (Bobe & Behrensmeyer 2004)"
10,Melka Kunture,0,6,0,0,1,1,"""proportion of grass pollen (Poaceae) points to a local abundance of herbaceous plants […] We conclude that 1.7 Ma ago a diversiﬁed type of dry forest […] grew not far from Melka Kunture. However, the percentage of grass pollen (>50%) remains high, indicating that extensive areas were still occupied by mountain woodland or dry forest, with various herbaceous plants [...] The vegetation of the area was an open grassland. Few forest trees grew not far away from the site. […] The large proportion of grass pollen (Poaceae 63%) indicates that this forest was broken up by large open spaces in the vegetation […] dominated by grass pollen (86%) indicating a high-elevation grassland""33 
(Bonnefille, Melis, & Mussi 2018)"
11,Chiwondo Beds,0,0,0,1,7,0,"""The overall fraction of woody cover of 60-70% reﬂects signiﬁcantly higher canopy density in the Malawi Rift than the Eastern Rift through time […] The relatively large variability in d13C values probably hints at the existence of local microhabitats, characterized by restricted areas of woodland and bushland adjacent to grassland environments with reduced canopy and up to 60% C4 plants […] The Malawi Rift, with a mean of >65% fraction of woody cover, has had persistently more canopy than the Eastern Rift""34 (Lüdecke et al. 2016)
Scores estimated based on the proportion of samples falling within the vegetation regimes suggested in Cerling et al 201135."
